job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Data Science Lead - Forecasting,Cargill,6 - 11 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
Deep Learning Engineer (SIPS-PS),Sony Corporation Of America,1 - 5 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
Staff Data Scientist,Baker Hughes,10 - 15 years,Not Disclosed,"Mumbai, Hyderabad/SecunderabadView More",bachelor  master ,python,,,,,,,,,,
Hiring Data Scientist // Bangalore,Randstad,2 - 5 years,"₹ 16,00,000 - 25,00,000 P.A.",Bangalore/BengaluruView More,bachelor  master ,python,,sql,excel,,,,nosql,,,
Data Scientist / AI-ML Engineer,Hitachi Ltd.,3 - 7 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,excel,,,,,,,matlab
"Program Manager, Analytics",Uber,3 - 7 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,,,,,,,,
Data Science - Technical Lead,Paytm,6 - 8 years,Not Disclosed,"Noida, Bangalore/BengaluruView More",bachelor  master ,python,,,,,,,,,,
Data Science - Senior Software Engineer,Paytm,3 - 6 years,Not Disclosed,"Noida, Bangalore/BengaluruView More",bachelor  master ,python,,,,,,,,,,
Data Science - Engineering Manager,Paytm,3 - 5 years,Not Disclosed,"New Delhi, Bangalore/BengaluruView More",bachelor  master ,python,,sql,,,,,,,,
Data Scientist - 2,24 7 ai,1 - 3 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,sql,excel,,,,,,,
Lead Data Scientist,Lowe's,9 - 14 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,sql,,,,,,,,
Associate Data Scientist,S&P Global,3 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,sql,,,,tableau,,,,
Data Scientist,S&P Global,3 - 6 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,sql,,,,tableau,,,,
Hiring Data Science Lead,Talent21,10 - 14 years,"₹ 20,00,000 - 30,00,000 P.A.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)View More",bachelor  master ,python,r,sql,,,,,,,,
Data Scientist,TRH Consultancy Services,11 - 15 years,Not Disclosed,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCRView More",bachelor  master  phd ,python,r,sql,,,,,,,,
Data Scientist,Infogain,6 - 8 years,Not Disclosed,"Noida, Pune, Bangalore/BengaluruView More", master  phd ,python,,sql,excel,,,,,,,
Team Lead/Consultant-Data Science,Accenture,7 - 11 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,sql,,,,,,,,
Data Scientist,Abbott,5 - 6 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,sql,,,,,,sas,,
Principal AI Scientist,Pristine Infotech,3 - 7 years,Not Disclosed,"Mumbai, ChennaiView More",bachelor  master ,python,r,sql,,,,tableau,,,,
Data Scientist - IT,P&G,2 - 7 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,sas,git,matlab
Senior Data Scientist,Mondelez,2 - 5 years,Not Disclosed,"Mumbai, ThaneView More",bachelor  master ,python,r,sql,,,powerbi,tableau,nosql,sas,git,
ML Workflow Engineering Manager,Pfizer,5 - 8 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,sql,,,,,,,git,
Industrialized Assets Product Lead,Pfizer,7 - 12 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,sql,,,,,,,git,
"Manager , Data Science",Visa,5 - 10 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,,,,,,,,,
Senior Data Scientist,Alp Consulting Limited,3 - 5 years,Not Disclosed,"Bangalore/Bengaluru, KarnatakaView More",bachelor  master ,python,,,excel,,,,,sas,,
Senior Data Scientist - Statistics,Optum,5 - 8 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,sql,excel,,powerbi,tableau,,,,
Data Scientist,Siemens,2 - 6 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,,,,,,,,,
Analytical Modeler,Allegis Group,4 - 8 years,Not Disclosed,Chennai( Sholinganallur )View More,bachelor ,python,r,sql,excel,,,,,sas,,matlab
Data Science Consultant - Part Time,Intechhub Solutions,5 - 10 years,Not Disclosed,Hiring office located in SalemView More,bachelor ,python,r,sql,excel,,,,,,,
PhD Intern - Data Scientist,Western Digital,0 - 2 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,excel,,,,,,,
Analyst-Data Science,AMERICAN EXPRESS,0 - 3 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,sql,,,,,,sas,,
Senior Analyst-Risk Management,AMERICAN EXPRESS,0 - 3 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,sql,,,,,,,git,
Data Architect/LDS,Cyient,10 - 15 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,,git,
AI/ ML developer,Infogain,4 - 5 years,Not Disclosed,"Pune, Delhi / NCR, Mumbai (All Areas)View More",bachelor ,python,,sql,excel,,,,,,,
Analytic Delivery Lead,Gharondaa Advisors,10 - 16 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/BengaluruView More",bachelor  master  phd ,python,,,excel,,,,nosql,,,
Manager Data Scientist,Michelin,4 - 8 years,Not Disclosed,PuneView More,bachelor  master ,python,,,excel,,,,,,,
Data Scientist,Siemens,3 - 7 years,Not Disclosed,PuneView More,bachelor  master ,python,,,excel,,,,nosql,,,
Manager Data Science,Merck Sharp & Dohme (MSD),4 - 7 years,Not Disclosed,PuneView More,bachelor  master ,python,r,sql,,,powerbi,,,,,
Senior Manager Data Science,Merck Sharp & Dohme (MSD),5 - 9 years,Not Disclosed,PuneView More,bachelor  master ,python,r,sql,,,powerbi,,,,,
Cloud Data Engineer (Innovation),Deutsche Bank,2 - 6 years,Not Disclosed,PuneView More,bachelor  master ,python,,sql,excel,,,,,,git,
Opening For Data Scientist - Pan India,Wonese India,4 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/BengaluruView More",bachelor  master ,python,r,sql,excel,,powerbi,tableau,,,,
Python Data Scientist Developer,3i Infotech,3 - 6 years,Not Disclosed,"Noida, Navi Mumbai, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,,sql,excel,,,,,,,
Data Architect - Location BKC Mumbai,IDFC FIRST Bank,5 - 10 years,Not Disclosed,Mumbai (All Areas)View More,bachelor ,,,,,,,,,,,
Data Scientist,Financial Software Systems(FSS),2 - 3 years,Not Disclosed,"Kolkata, Mumbai, Chennai, Bangalore/BengaluruView More",bachelor  master ,python,,sql,,,,,,,,
nlp engineers,Disha Consultants,8 - 12 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,,,,,,,,,
Consultant- Data Scientist,Grant Thornton,2 - 6 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,,,,,nosql,,,
Lead Data Scientist,Yulu,1 - 2 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
Data Scientist,VN2 Solutions,0 - 4 years,"₹ 4,00,000 - 8,00,000 P.A.",Bangalore/BengaluruView More,bachelor ,python,,sql,excel,,,,nosql,,,
Data Scientist,S&P Global,2 - 3 years,Not Disclosed,"Hyderabad/Secunderabad, Gurgaon/GurugramView More",bachelor ,python,r,sql,,,,,,,,
"Data Scientist @ Heritage Foods Ltd, HYD.",Heritage Foods,2 - 4 years,"₹ 2,00,000 - 5,00,000 P.A.",Hyderabad/SecunderabadView More,bachelor  master ,python,r,sql,excel,,,tableau,,,git,
Specialist - Data Science - GMO,Dr Reddys,2 - 6 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,r,,,,,,,,,
Data Science Lead,Dr Reddys,2 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,,,,,,,,git,
Data Science Lead,Dr Reddys,2 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,sql,,,,,,,,
Data Scientist,Dr Reddys,2 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,,,,,,,,,
Data Scientist,TRH Consultancy Services,5 - 10 years,Not Disclosed,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/BengaluruView More",bachelor  master  phd ,python,r,sql,,,,,,,,
Data Scientist - R/Python,Okda Solutions,4 - 7 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCRView More",bachelor  master  phd ,python,r,,excel,,,,,,,
Opportunity For BioStatistician - II/Sr/Principal - Homebased/Blg/Mum/,PPD,4 - 9 years,Not Disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCRView More",bachelor  master  phd ,,,,excel,,,,,sas,,
Data Scientist,Megma Services,1 - 4 years,Not Disclosed,"Mumbai, Bangalore/BengaluruView More",bachelor  master  phd ,,,,,,,,,,,
Data Scientist,Megma Services,1 - 4 years,Not Disclosed,"Mumbai, Bangalore/BengaluruView More",bachelor  master  phd ,,,,,,,,,,,
Data Scientist,Megma Services,1 - 4 years,Not Disclosed,"Mumbai, Bangalore/BengaluruView More",bachelor  master  phd ,,,,,,,,,,,
Associate,Tata Capital Forex,0 - 2 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,,,,,,,sas,,
Immediate Hiring- Big Data Java Chapter Manager(12+ years ),Societe Generale,10 - 16 years,Not Disclosed,Bangalore/BengaluruView More,bachelor ,python,,sql,,,,,,,,
Principal Data Scientist,GSK India,7 - 12 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,excel,,,,,,git,
Lead Software Engineer I,Allstate Solutions (ASPL),6 - 8 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
DATA SCIENTIST NXT-PLATFORM DEV,Mindtree,2 - 7 years,Not Disclosed,ChennaiView More,bachelor  master ,python,,,,,,,,,,
Sr Data Scientist | Gurgaon | WFO,Ofb Tech,3 - 6 years,Not Disclosed,Gurgaon/GurugramView More,bachelor ,python,,,,,,,,,,
Data Scientist - Lodha Group,Lodha Group,3 - 7 years,Not Disclosed,AndheriView More,bachelor ,python,,,excel,,,,,,git,
Computer Scientist - 1,Adobe,6 - 8 years,Not Disclosed,NoidaView More,bachelor  master ,python,,,excel,,,,,,,
Data Scientist,Adani Group,2 - 7 years,Not Disclosed,Kolkata( Salt Lake )View More,bachelor  master  phd ,python,r,sql,excel,,powerbi,tableau,,,,
Data Scientist - (From Microfinance Operations only),Muthoot Microfin,5 - 8 years,"₹ 7,00,000 - 14,00,000 P.A.","Kochi/Cochin, ErnakulamView More",bachelor  master  phd ,python,,sql,excel,,powerbi,tableau,,,,
Researcher -AI-ML modelling,TATA STEEL,3 - 5 years,Not Disclosed,JamshedpurView More,bachelor  master ,python,,sql,,,,,,,,matlab
"Senior Data Scientist, AI CoE",Boston Consulting Group,4 - 6 years,Not Disclosed,New DelhiView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,,,
Lead Data Scientist - Data Sciences,GEP,8 - 13 years,Not Disclosed,RemoteView More,bachelor  master ,python,,,,,,,,,,
Senior Data Scientist / Senior ML Engineer,Agile Airport Services,2 - 8 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,,,,,,,,,
Analyst-Data Science,AMERICAN EXPRESS,1 - 5 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,r,sql,,,,tableau,,sas,,
