job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Senior Business Analyst/Data Engineer - Python/AWS/SQL,Huquo Consulting,3 - 6 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,sql,,,,,,,,
Procurement Data Analyst,Schneider Electric,0 - 2 years,"₹ 1,00,000 - 5,00,000 P.A.",Bangalore/BengaluruView More,bachelor ,,,sql,excel,vba,,tableau,,,git,
Junior Data Analyst,RCPC,0 - 1 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,sql,,,,,,,,
Trainee Junior Data Analyst,Tenet Health Edutech,0 - 1 years,"₹ 1,75,000 - 2,50,000 P.A.","Kolkata, Indore, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)View More",bachelor  master ,python,,,,,,,,,,
Data Analyst,Newglobe,1 - 3 years,Not Disclosed,New DelhiView More,bachelor  master ,python,r,sql,excel,,,,,sas,,
Data Analyst,Engineered Seal Products (ESP),1 - 4 years,Not Disclosed,ChennaiView More,bachelor ,python,,sql,excel,,powerbi,tableau,,,,
Data Analyst,M/S Employee For You,0 - 5 years,"₹ 2,00,000 - 3,25,000 P.A.","Chandigarh, Pune, Bangalore/BengaluruView More",bachelor ,python,,,excel,,,,,,,
Business Data Analyst (Sr Exe / Asst Manager),Talentleads,3 - 5 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,excel,,,tableau,,,,
Senior Data Analyst (Automation),Uber,1 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,sql,excel,,,,,,,
Senior Data Analyst,Capgemini,3 - 5 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,,sql,excel,,powerbi,,,,,
HCL Hiring For Senior DATA Analyst,HCLTech,3 - 6 years,Not Disclosed,ChennaiView More,bachelor ,python,,sql,excel,,,tableau,,,,
HEOR Data Analyst Role - SAS/SQL - Life Sciences,Huquo Consulting,4 - 9 years,Not Disclosed,NoidaView More,bachelor  master ,python,,sql,excel,,powerbi,tableau,,sas,,
Data Analyst - Visualization,Multi Recruit,3 - 6 years,"₹ 10,00,000 - 15,00,000 P.A.",PuneView More,bachelor ,python,r,sql,excel,,powerbi,tableau,,,,
SAS Analytics/ Data Analyst,Mastermind Network,2 - 4 years,Not Disclosed,"Hyderabad/Secunderabad, Delhi / NCRView More",bachelor  master ,python,,,,vba,,,,sas,,
Data Analyst,Gi Group,4 - 8 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,sql,,,powerbi,tableau,,sas,,
Data Analyst,Thrillophilia,0 - 3 years,Not Disclosed,JaipurView More,bachelor  master ,python,r,sql,excel,,,,,,,
Citi Hiring - Junior Business Data Analyst- 3 To 5yrs,Citicorp Finance,3 - 5 years,Not Disclosed,Pune( Eon Free Zone  )View More,bachelor ,python,,sql,excel,vba,,,,,,
Senior Data Analyst - PowerBI,Job Proffer,5 - 10 years,Not Disclosed,"Pune, Mumbai (All Areas)View More",bachelor ,,,sql,excel,vba,powerbi,,,,,
Senior Data Analyst,Serosoft Solutions,4 - 9 years,Not Disclosed,IndoreView More,bachelor  master ,python,r,sql,excel,,powerbi,,,sas,,
Staff Data Analyst,Walmart,10 - 14 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,,,
Reference Data Analyst,Deutsche Bank,6 - 8 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,sql,excel,,,,,,,
Data Analyst - Tableau & Alteryx,Knorr Bremse,7 - 11 years,Not Disclosed,PuneView More,bachelor  master ,python,,sql,excel,,powerbi,tableau,,,,
Immediate Hiring For MIS and Data Analyst,Regalix,1 - 6 years,"₹ 2,00,000 - 5,50,000 P.A.",Bangalore/BengaluruView More,bachelor ,python,,,excel,vba,powerbi,,,,,
